KOD,POPIS,POCET
1113,Matematika,5
1217,Vedy o Zemi,7
1420,Chemia,4
1536,Biologia,20
1610,Ekologicke a environmentalne vedy,4
2118,Ziskavanie a spracovanie zemskych zdrojov,8
2381,Strojarstvo,52
2508,Informatika,30
2647,Kybernetika,13
2675,Elektrotechnika,13
2820,Chemicke inzinierstvo a technologie,7
2908,Biotechnologie,4
2940,Potravinarstvo,8
3331,Drevarstvo,3
3507,Architektura a urbanizmus,6
3636,Geodezia a kartografia,5
3659,Stavebnictvo,15
3772,Doprava,7
4190,Polnohospodarstvo a krajinarstvo,5
4219,Lesnictvo,2
5141,Vseobecne lekarstvo (v 2023 iba 6??) nepisu bak,614
5166,Zubne lekarstvo (vsetci 2024??) nepisu bak,94
5214,Farmacia nepisu bak,5
5602,Osetrovatelstvo,506
5607,Verejne zdravotnictvo,168
5618,Zdravotnicke vedy,65
6107,Filozofia,12
6115,Sociologia a socialna antropologia,6
6171,Teologia,9
6213,Ekonomia a manazment,775
6718,Politicke vedy,87
6835,Pravo,158
7115,Historicke vedy,27
7205,Medialne a komunikacne studia,55
7320,Filologia,48
7418,Veda o sporte,32
7605,Ucitelstvo a pedagogicke vedy,385
7701,Psychologia,79
7761,Socialna praca,920
8110,Veda o umeni a kulture,27
8202,Umenie,61
9205,Bezpecnostne vedy,390
9610,Obrana a vojenstvo,14
